cluster,category,overlap,p_enrich,weighted,rank
43,Myeloid_Haem,2,1.0,6.699635600000001,2
43,Fibroblast,4,0.9993254936667452,6.492116129999999,3
44,Muscle,16,0.6361426063924238,76.02586009999999,1
44,Myeloid_Haem,6,1.0,20.889473500000005,2
44,Mesenchymal cells,5,0.9999999999735442,11.005555690000001,3
45,Fibroblast,7,0.9987819146134932,15.146322149999998,1
45,Myeloid_Haem,7,1.0,8.33988639,2
45,Progenitor_Haem,6,0.9999999999656146,7.02070227,3
46,Osteoblast,7,0.14901645749666875,33.57271577,1
46,Myeloid_Haem,10,1.0,21.47021549,2
46,Progenitor_Haem,4,0.9999999999994137,12.108290660000002,3
47,Erythroid,25,0.20103328043080376,139.18222120000001,1
47,Myeloid_Haem,21,1.0,89.30923138,2
47,Progenitor_Haem,16,0.9999808978798309,54.91397734,3
48,Chondrocyte,7,0.6278505475276177,11.289635959999998,1
48,Fibroblast,5,0.9997894358680783,11.0254501,2
48,Progenitor_Haem,5,0.9999999999457465,10.83504259,3
49,Muscle,14,0.5119409787354878,49.3203783,1
49,Myeloid_Haem,4,1.0,9.4772942,2
49,Mesenchymal cells,5,0.9999999663571524,9.198096099999999,3
5,Progenitor_Haem,5,0.9999999994988147,12.744173830000001,1
5,Osteoblast,4,0.6551621668391472,11.514794199999999,2
5,Mesenchymal cells,2,0.9999999924669564,7.5075775,3
50,Fibroblast,6,0.9995533168638527,14.5476181,1
50,Muscle,5,0.9988019544343585,7.1662528299999995,2
50,Mesenchymal cells,3,0.9999999934599387,5.983063079999999,3
51,Epidermis,9,0.8837803210036381,57.584365899999995,1
51,Epithelial,5,0.9999999468436774,17.4639374,2
51,Mesenchymal cells,4,0.9999999999941748,14.29791008,3
52,Lymphoid_Haem,31,0.9999998871027777,109.56591380000002,1
52,Myeloid_Haem,32,1.0,69.73282827,2
52,Progenitor_Haem,13,0.9999999999951901,34.63257353,3
53,Fibroblast,4,0.9999915749307035,12.7395989,1
53,Progenitor_Haem,6,0.9999999999768009,10.2598149,2
53,Mesenchymal cells,4,0.9999999698479091,8.7095187,3
54,Chondrocyte,8,0.7879069762483457,43.02216870000001,1
54,Fibroblast,5,0.9999988762442553,12.6407914,2
54,Progenitor_Haem,6,0.9999999999999954,12.3066344,3
55,Epidermis,2,0.5388421734377692,3.8799871999999995,1
55,Osteoclast_Haem,1,0.4151727732106975,2.186992,2
55,Muscle,1,0.930585061537929,1.6279824,3
56,Chondrocyte,8,0.8045704400198025,13.390352940000001,1
56,Fibroblast,7,0.999972293386222,11.68162759,2
56,Myeloid_Haem,9,1.0,11.470412720000002,3
57,Epithelial,5,0.9999999430361545,18.099772899999998,1
57,Mesenchymal cells,3,0.9999999999996299,14.303065199999999,2
57,Myeloid_Haem,3,1.0,11.02850462,3
58,Lymphoid_Haem,5,1.0,20.79347376,1
58,Epithelial,4,0.9999999936270297,17.1584076,2
58,Mesenchymal cells,3,0.999999999999574,7.87123856,3
59,Myeloid_Haem,27,0.9999904022895971,159.14731422999998,1
59,Progenitor_Haem,13,0.9989209687769672,50.65056787999999,2
59,Lymphoid_Haem,6,0.9999999999983443,26.4887379,3
6,Chondrocyte,10,0.41917440216954854,49.2288883,1
6,Mesenchymal cells,3,0.9999999999826612,15.219863,2
6,Progenitor_Haem,7,0.9999999999997803,12.644970100000002,3
60,Myeloid_Haem,45,0.9999999997411972,139.81398099999998,1
60,Progenitor_Haem,11,0.9999999999997714,22.482437899999997,2
60,Endothelial,7,0.9999739913691823,21.5624248,3
61,Epithelial,5,0.9999994268097934,15.78711555,1
61,Mesenchymal cells,2,0.9999999999995549,8.5626257,2
61,Progenitor_Haem,3,1.0,6.7722397999999995,3
62,Erythroid,27,0.00010065207159882807,173.96177034,1
62,Myeloid_Haem,10,0.9999999999999334,70.20293070000001,2
62,Progenitor_Haem,5,0.9999997906361183,34.011341599999994,3
63,Epithelial,5,0.9975339722277269,21.90965306,1
63,Chondrocyte,5,0.7355324717196885,10.255785739999999,2
63,Myeloid_Haem,6,1.0,7.41656885,3
64,Chondrocyte,7,0.011488950161469638,23.4441482,1
64,Myeloid_Haem,8,0.9999466731113913,14.93433414,2
64,Erythroid,5,0.8509966304610974,9.1846134,3
65,Fibroblast,13,0.9859991909286784,47.462115,1
65,Myeloid_Haem,11,1.0,15.07127852,2
65,Progenitor_Haem,9,0.999999999999848,11.00224873,3
66,Myeloid_Haem,51,0.9999999829490767,174.79455678999997,1
66,Lymphoid_Haem,31,0.9999999509131687,83.67088360000001,2
66,Progenitor_Haem,21,0.9999994786937186,64.21267336,3
67,Erythroid,26,0.00019360950466120174,127.21002659999996,1
67,Myeloid_Haem,10,0.9999999999997471,63.6511092,2
67,Progenitor_Haem,5,0.9999996083930328,24.8473023,3
68,Erythroid,8,0.9999999114506711,15.793622079999999,1
68,Myeloid_Haem,8,1.0,14.361628510000001,2
68,Adipose,2,0.6329381035022195,13.586180599999999,3
69,Fibroblast,6,0.9999636106623498,12.223145899999999,1
69,Myeloid_Haem,12,1.0,11.00151137,2
69,Progenitor_Haem,6,0.9999999999997962,9.18997444,3
