,FACS_Sorting,Age,Method,Multiplexed,Dataset,Anatomical_Site,Organ,10X_Chemistry,Donor_ID,Accession_ID,Organism,Sample_ID,Sex,Expected_Donors,Study,Technology,Age(PCW)
44,Total,8.0,3GEX,No,Linnarson,Dorsal_midbrain,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X96_7,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
45,Total,8.0,3GEX,No,Linnarson,Cortex,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X96_6,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
46,Total,8.0,3GEX,No,Linnarson,Cortex,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X96_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
47,Total,8.0,3GEX,No,Linnarson,Cerebellum,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X96_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
48,Total,8.0,3GEX,No,Linnarson,Cerebellum,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X96_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
49,Total,8.0,3GEX,No,Linnarson,Amygdala,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X96_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
50,Total,8.0,3GEX,No,Linnarson,Amygdala,Brain,10x3'v2,BRC2021,EGAD00001006049,Human,10X96_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
51,Total,9.5,3GEX,No,Linnarson,Subcortical_forebrain,Brain,10x3'v2,XHU:292,EGAD00001006049,Human,10X92_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,9.5
52,Total,9.5,3GEX,No,Linnarson,Subcortical_forebrain,Brain,10x3'v2,XHU:292,EGAD00001006049,Human,10X92_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,9.5
53,Total,9.5,3GEX,No,Linnarson,Forebrain_cortex,Brain,10x3'v2,XHU:292,EGAD00001006049,Human,10X92_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,9.5
54,Total,9.5,3GEX,No,Linnarson,Forebrain_cortex,Brain,10x3'v2,XHU:292,EGAD00001006049,Human,10X92_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,9.5
55,Total,8.0,3GEX,No,Linnarson,Ventral_midbrain,Brain,10x3'v2,BRC2006,EGAD00001006049,Human,10X89_8,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
56,Total,8.0,3GEX,No,Linnarson,Ventral_midbrain,Brain,10x3'v2,BRC2006,EGAD00001006049,Human,10X89_7,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
57,Total,8.0,3GEX,No,Linnarson,Thalamus,Brain,10x3'v2,BRC2006,EGAD00001006049,Human,10X89_6,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
58,Total,8.0,3GEX,No,Linnarson,Thalamus,Brain,10x3'v2,BRC2006,EGAD00001006049,Human,10X89_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
59,Total,8.0,3GEX,No,Linnarson,Hypothalamus,Brain,10x3'v2,BRC2006,EGAD00001006049,Human,10X89_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
60,Total,8.0,3GEX,No,Linnarson,Hypothalamus,Brain,10x3'v2,BRC2006,EGAD00001006049,Human,10X89_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
61,Total,8.0,3GEX,No,Linnarson,Cortex,Brain,10x3'v2,BRC2006,EGAD00001006049,Human,10X89_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
62,Total,8.0,3GEX,No,Linnarson,Cortex,Brain,10x3'v2,BRC2006,EGAD00001006049,Human,10X89_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,8.0
63,Total,12.9,3GEX,No,Linnarson,Lung,Brain,10x3'v2,XDD:359,EGAD00001006049,Human,10X214_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,12.9
64,Total,12.9,3GEX,No,Linnarson,Lung,Brain,10x3'v2,XDD:359,EGAD00001006049,Human,10X214_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,12.9
65,Total,12.9,3GEX,No,Linnarson,Occipital_cortex,Brain,10x3'v3,XDD:359,EGAD00001006049,Human,10X213_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,12.9
66,Total,12.9,3GEX,No,Linnarson,Occipital_cortex,Brain,10x3'v3,XDD:359,EGAD00001006049,Human,10X213_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,12.9
67,Total,12.9,3GEX,No,Linnarson,Pons,Brain,10x3'v3,XDD:359,EGAD00001006049,Human,10X213_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,12.9
68,Total,12.9,3GEX,No,Linnarson,Medulla,Brain,10x3'v3,XDD:359,EGAD00001006049,Human,10X213_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,12.9
69,Total,12.9,3GEX,No,Linnarson,Lower_cortex,Brain,10x3'v3,XDD:359,EGAD00001006049,Human,10X212_6,unknown,1,Braun_et_al_2023,10X_scRNA-seq,12.9
70,Total,12.9,3GEX,No,Linnarson,Lower_cortex,Brain,10x3'v3,XDD:359,EGAD00001006049,Human,10X212_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,12.9
71,Total,12.9,3GEX,No,Linnarson,Frontotemporal_cortex,Brain,10x3'v3,XDD:359,EGAD00001006049,Human,10X212_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,12.9
72,Total,12.9,3GEX,No,Linnarson,Frontotemporal_cortex,Brain,10x3'v3,XDD:359,EGAD00001006049,Human,10X212_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,12.9
73,Total,12.9,3GEX,No,Linnarson,Hippocampus,Brain,10x3'v3,XDD:359,EGAD00001006049,Human,10X212_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,12.9
74,Total,12.9,3GEX,No,Linnarson,Hippocampus,Brain,10x3'v3,XDD:359,EGAD00001006049,Human,10X212_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,12.9
75,Total,11.5,3GEX,No,Linnarson,Subcortical_forebrain,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X211_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
76,Total,11.5,3GEX,No,Linnarson,Subcortical_forebrain,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X211_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
77,Total,11.5,3GEX,No,Linnarson,Mesencephalon,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X211_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
78,Total,11.5,3GEX,No,Linnarson,Mesencephalon,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X211_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
79,Total,11.5,3GEX,No,Linnarson,Hippocampus,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X211_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
80,Total,11.5,3GEX,No,Linnarson,Subcortical_forebrain,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X210_8,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
81,Total,11.5,3GEX,No,Linnarson,Subcortical_forebrain,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X210_7,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
82,Total,11.5,3GEX,No,Linnarson,Pons,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X210_6,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
83,Total,11.5,3GEX,No,Linnarson,Pons,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X210_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
84,Total,11.5,3GEX,No,Linnarson,Mesencephalon,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X210_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
85,Total,11.5,3GEX,No,Linnarson,Mesencephalon,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X210_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
86,Total,11.5,3GEX,No,Linnarson,Hippocampus,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X210_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
87,Total,11.5,3GEX,No,Linnarson,Hippocampus,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X210_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
88,Total,11.5,3GEX,No,Linnarson,Frontotemporal_cortex,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X208_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
89,Total,11.5,3GEX,No,Linnarson,Upper_cortex,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X209_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
90,Total,11.5,3GEX,No,Linnarson,Lower_cortex,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X209_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
